patient_id,dose,viability,log_dose
ACH-000965,1.0,0.2827757048727958,0.0
ACH-000965,0.25,0.3116430119004812,-1.3862943611198906
ACH-000965,0.0625,0.2924848549835449,-2.772588722239781
ACH-000965,0.015625,0.354518283398181,-4.1588830833596715
ACH-000965,0.00390625,0.4468627066835867,-5.545177444479562
ACH-000730,1.0,0.3701556821960604,0.0
ACH-000730,0.25,0.4689640487198773,-1.3862943611198906
ACH-000730,0.0625,0.4824816905268089,-2.772588722239781
ACH-000730,0.015625,0.4733548383574266,-4.1588830833596715
ACH-000730,0.00390625,0.369483856022243,-5.545177444479562
ACH-001002,1.0,0.1363567812814397,0.0
ACH-001002,0.25,0.2009666401308323,-1.3862943611198906
ACH-001002,0.0625,0.233042751639449,-2.772588722239781
ACH-001002,0.015625,0.2401886063866283,-4.1588830833596715
ACH-001002,0.00390625,0.214824487083014,-5.545177444479562
ACH-000962,1.0,0.5406847074191129,0.0
ACH-000962,0.25,0.5350472250362452,-1.3862943611198906
ACH-000962,0.0625,0.5992568283028037,-2.772588722239781
ACH-000962,0.015625,0.7153091617176932,-4.1588830833596715
ACH-000962,0.00390625,0.7794365348490639,-5.545177444479562
ACH-000826,1.0,0.5328980999481108,0.0
ACH-000826,0.25,0.5131194568273664,-1.3862943611198906
ACH-000826,0.0625,0.577142098146319,-2.772588722239781
ACH-000826,0.015625,0.6342039712141091,-4.1588830833596715
ACH-000826,0.00390625,0.6837233009064998,-5.545177444479562
ACH-000614,1.0,0.4195913087377221,0.0
ACH-000614,0.25,0.3955736969721454,-1.3862943611198906
ACH-000614,0.0625,0.4338094896297421,-2.772588722239781
ACH-000614,0.015625,0.4467859749398175,-4.1588830833596715
ACH-000614,0.00390625,0.5055672306060716,-5.545177444479562
ACH-000425,1.0,0.2404524304133161,0.0
ACH-000425,0.25,0.2583899460524282,-1.3862943611198906
ACH-000425,0.0625,0.2618523501469816,-2.772588722239781
ACH-000425,0.015625,0.2543974237140577,-4.1588830833596715
ACH-000425,0.00390625,0.2825779772190557,-5.545177444479562
ACH-000191,1.0,0.0609725964243259,0.0
ACH-000191,0.25,0.0706193192332898,-1.3862943611198906
ACH-000191,0.0625,0.115473171313163,-2.772588722239781
ACH-000191,0.015625,0.122104684497574,-4.1588830833596715
ACH-000191,0.00390625,0.2013266388969926,-5.545177444479562
ACH-002205,1.0,0.4827578280957806,0.0
ACH-002205,0.25,0.4541902525385052,-1.3862943611198906
ACH-002205,0.0625,0.6797589873215905,-2.772588722239781
ACH-002205,0.015625,0.6980111139528935,-4.1588830833596715
ACH-002205,0.00390625,0.7486381255750457,-5.545177444479562
ACH-000963,1.0,0.563309386414318,0.0
ACH-000963,0.25,0.7129962305707761,-1.3862943611198906
ACH-000963,0.0625,0.8493813132364116,-2.772588722239781
ACH-000963,0.015625,0.8294712637757081,-4.1588830833596715
ACH-000963,0.00390625,0.7289221593469233,-5.545177444479562
ACH-002207,1.0,0.1346022244128362,0.0
ACH-002207,0.25,0.1514720746779817,-1.3862943611198906
ACH-002207,0.0625,0.1474754871275186,-2.772588722239781
ACH-002207,0.015625,0.1770539857087613,-4.1588830833596715
ACH-002207,0.00390625,0.1794315177187083,-5.545177444479562
ACH-000985,1.0,0.2666762629533581,0.0
ACH-000985,0.25,0.3411081632824219,-1.3862943611198906
ACH-000985,0.0625,0.3645492988011358,-2.772588722239781
ACH-000985,0.015625,0.5110533217736838,-4.1588830833596715
ACH-000985,0.00390625,0.5372097520058228,-5.545177444479562
ACH-000610,1.0,0.6706679069676723,0.0
ACH-000610,0.25,0.7872970252728468,-1.3862943611198906
ACH-000610,0.0625,0.9552545487108454,-2.772588722239781
ACH-000610,0.015625,0.8690452385656726,-4.1588830833596715
ACH-000610,0.00390625,0.9478967889855952,-5.545177444479562
ACH-001350,1.0,0.2173715110815855,0.0
ACH-001350,0.25,0.2421455775495707,-1.3862943611198906
ACH-001350,0.0625,0.2636647999661645,-2.772588722239781
ACH-001350,0.015625,0.3030546216009018,-4.1588830833596715
ACH-001350,0.00390625,0.3246801558822523,-5.545177444479562
ACH-002312,1.0,0.4349190004026842,0.0
ACH-002312,0.25,0.5157798395052652,-1.3862943611198906
