patient_id,h_slope,ic50_frequentist,min_val,max_val,generic_h_reference
ACH-002238,4.43153081400592,0.0028753452648492,0.894313842681922,1.38114139581763,0.114935290007188
ACH-001528,0.718285126399914,0.000738397503032874,0.124066752821846,0.862706310382972,0.114935290007188
ACH-000893,7.38210403869191,0.0176548156709368,0.77814203479934,0.947456035680325,0.114935290007188
ACH-000810,5.54320789749042,0.0139856428471626,0.172264496499799,0.265186057538959,0.114935290007188
ACH-000656,0.42710272121121,1.32414301776498,0.597635948149315,0.928490501005149,0.114935290007188
ACH-000995,6.66325801973107,0.0556667420876752,0.861610671222372,0.918327457423666,0.114935290007188
ACH-002121,9.78732026350393,0.030766733865234,0.013551142136163,0.0185703062359916,0.114935290007188
ACH-000360,7.1500738703662,0.246257387985048,0.76635581839183,0.940817653351408,0.114935290007188
ACH-002143,0.924077975048152,0.285819283342942,0.410308466119667,0.505826470249302,0.114935290007188
ACH-000465,0.742126116782645,0.000846901295481008,0.318770596220286,1.19698966384912,0.114935290007188
ACH-000657,1.53591118906739,0.0596234145235481,0.25366621938862,0.73305171917893,0.114935290007188
ACH-000812,8.16612041310334,0.0579601183761053,0.275025973417896,0.512261895712448,0.114935290007188
ACH-000304,0.178204954143489,0.00172728508977736,-0.285431303021806,1.63674767930639,0.114935290007188
ACH-001306,1.64271114486516,0.130984196312641,0.352250482122848,0.487993883589215,0.114935290007188
ACH-002206,0.0531614679801034,0.00684452168915811,-0.282189207674754,1.4510047575726,0.114935290007188
ACH-000943,1.82286594518075,0.0570415170488613,0.252816988684976,0.686804427863942,0.114935290007188
ACH-000906,0.513893601264365,2.08494272409763,-0.150892657564943,0.371301562359332,0.114935290007188
ACH-000955,1.38273464716249,0.0232134261782292,0.352415815495227,0.503334672065551,0.114935290007188
ACH-000423,9.54822093686554,0.100271255027142,0.378484335747927,0.442395356210437,0.114935290007188
ACH-000827,7.17783630971754,0.76667763852235,0.316212916983551,0.482609652245937,0.114935290007188
ACH-002166,0.856200546590109,0.000592081185230399,0.304039814052426,0.550150073681814,0.114935290007188
ACH-000805,0.113955613133902,0.0741656601443552,0.0413345329050299,0.369366209675579,0.114935290007188
ACH-000269,5.30702443035504,0.205055689311469,0.943187221106681,0.98669357915584,0.114935290007188
ACH-000579,8.14717832189934,0.511055585731104,0.198603112033821,0.218346625951706,0.114935290007188
ACH-000932,0.612064675857846,0.0720726131645219,0.636447289741132,0.998226286090937,0.114935290007188
ACH-000535,0.591286447935208,0.0237860844284158,0.191379997356213,0.708170116259057,0.114935290007188
ACH-000361,1.41864783819802,0.0758516003677755,0.360846410971827,0.673591763326258,0.114935290007188
ACH-001039,0.413013139332751,0.0011480591604769,0.187464761781036,0.909669163894153,0.114935290007188
ACH-001333,0.492379668869015,0.0375742081824455,0.224870298841811,0.736783417979353,0.114935290007188
ACH-000999,0.305049964006083,0.407696124577757,0.542174651379333,0.927187895239787,0.114935290007188
ACH-000346,1.05673910120265,0.0308025247811754,0.548167106107433,0.676457323717269,0.114935290007188
ACH-002258,5.68681124113064,0.0148541789929707,0.0455730978876717,0.0531334362169814,0.114935290007188
ACH-000236,0.533350323279692,0.000509432151394275,0.649966285562709,1.50954001046896,0.114935290007188
ACH-000640,6.4559720960386,0.0778351392077698,0.718872749583385,0.809883280737711,0.114935290007188
